Name,Class,HP_old,HP_new,AC_old,AC_new,MAC_old,MAC_new,DC_old,DC_new,DCMAX_old,DCMAX_new,MC_old,MC_new,SC_old,SC_new,SPEED_old,SPEED_new,HIT_old,HIT_new,WALK_SPD_old,WALK_SPD_new
鸡,normal,5,8,0,0,0,0,1,2,1,2,0,0,0,0,10,15,3,5,1400,1167
鸡[变异],normal,1000,1500,50,75,50,75,50,75,100,150,0,0,0,0,30,45,30,45,400,333
鹿,normal,15,23,0,0,0,0,2,3,4,6,0,0,0,0,12,18,4,6,1400,1167
鹿[变异],normal,1200,1800,35,53,35,53,0,0,100,150,0,0,0,0,17,26,20,30,500,417
半兽人,normal,30,45,1,2,0,0,4,6,9,14,0,0,0,0,15,23,6,9,1500,1250
半兽人0,normal,30,45,1,2,0,0,4,6,9,14,0,0,0,0,15,23,8,12,1500,1250
半兽战士,normal,100,150,3,5,1,2,5,8,12,18,0,0,0,0,15,23,10,15,1500,1250
半兽战士0,normal,100,150,3,5,1,2,6,9,12,18,0,0,0,0,15,23,12,18,1500,1250
半兽勇士,normal,300,450,0,0,0,0,15,23,32,48,0,0,0,0,15,23,13,20,1500,1250
半兽勇士[变异],normal,900,1350,100,150,0,0,0,0,80,120,0,0,0,0,17,26,20,30,600,500
半兽勇士[非凡],normal,300,450,5,8,5,8,0,0,15,23,0,0,0,0,17,26,20,30,600,500
毒蜘蛛,normal,42,63,2,3,1,2,6,9,9,14,0,0,0,0,15,23,8,12,900,750
卫士,normal,9999,14999,0,0,300,450,200,300,200,300,200,300,200,300,0,0,200,300,500,417
蛤蟆,normal,20,30,0,0,0,0,0,0,5,8,0,0,0,0,13,20,6,9,1500,1250
蛤蟆0,normal,20,30,0,0,0,0,0,0,5,8,0,0,0,0,13,20,8,12,1500,1250
蝎子,normal,45,68,2,3,0,0,7,11,16,24,0,0,0,0,15,23,10,15,1200,1000
山洞蝙蝠,normal,25,38,2,3,0,0,4,6,6,9,0,0,0,0,25,38,11,17,1200,1000
山洞蝙蝠0,normal,25,38,2,3,0,0,4,6,6,9,0,0,0,0,25,38,13,20,1200,1000
森林雪人,normal,36,54,2,3,0,0,7,11,10,15,0,0,0,0,12,18,7,11,1500,1250
森林雪人0,normal,36,54,2,3,0,0,7,11,10,15,0,0,0,0,12,18,9,14,1500,1250
食人花,normal,28,42,2,3,0,0,6,9,9,14,0,0,0,0,14,21,12,18,1500,1250
骷髅,normal,90,135,0,0,0,0,7,11,10,15,0,0,0,0,13,20,11,17,1500,1250
骷髅0,normal,90,135,0,0,0,0,7,11,10,15,0,0,0,0,13,20,13,20,1500,1250
掷斧骷髅9,normal,100,150,0,0,0,0,4,6,9,14,0,0,0,0,12,18,15,23,1500,1250
掷斧骷髅,normal,100,150,0,0,0,0,4,6,9,14,0,0,0,0,12,18,15,23,1500,1250
掷斧骷髅0,normal,100,150,0,0,0,0,4,6,9,14,0,0,0,0,12,18,17,26,1500,1250
骷髅战士,normal,105,158,0,0,0,0,2,3,15,23,0,0,0,0,13,20,11,17,1500,1250
骷髅战士0,normal,105,158,0,0,0,0,2,3,15,23,0,0,0,0,13,20,13,20,1500,1250
骷髅战将,normal,110,165,2,3,1,2,7,11,13,20,0,0,0,0,15,23,12,18,1200,1000
骷髅战将0,normal,110,165,2,3,1,2,7,11,13,20,0,0,0,0,15,23,14,21,1200,1000
