Name,StdMode,Shape,Weight,Anicount,Source,Reserved,Looks,DuraMax,Need,NeedLevel,Price,Stock,Color,OverLap,Job,CustomItem,Note
粗坯·拆门板,65,0,1,0,0,0,10000,8000,0,1,10000,5,7,0,0,0,战士爆发分支
精制·拆门板,65,0,1,0,0,0,10001,8000,0,1,10000,5,10,0,0,0,战士爆发分支
淬火·拆门板,65,0,1,0,0,0,10002,8000,0,1,10000,5,11,0,0,0,战士爆发分支
成名·拆门板,65,0,1,0,0,0,10003,8000,0,1,10000,5,13,0,0,0,战士爆发分支
压轴·拆门板,65,0,1,0,0,0,10004,8000,0,1,10000,5,215,0,0,0,战士爆发分支
封顶·拆门板,65,0,1,0,0,0,10005,8000,0,1,10000,5,249,0,0,0,战士爆发分支
粗坯·铁头娃,65,0,1,0,0,0,10042,8000,0,1,10000,5,7,0,0,0,战士肉盾分支
精制·铁头娃,65,0,1,0,0,0,10043,8000,0,1,10000,5,10,0,0,0,战士肉盾分支
淬火·铁头娃,65,0,1,0,0,0,10044,8000,0,1,10000,5,11,0,0,0,战士肉盾分支
成名·铁头娃,65,0,1,0,0,0,10045,8000,0,1,10000,5,13,0,0,0,战士肉盾分支
压轴·铁头娃,65,0,1,0,0,0,10046,8000,0,1,10000,5,215,0,0,0,战士肉盾分支
封顶·铁头娃,65,0,1,0,0,0,10047,8000,0,1,10000,5,249,0,0,0,战士肉盾分支
粗坯·剁馅机,65,0,1,0,0,0,10021,8000,0,1,10000,5,7,0,0,0,战士攻速分支
精制·剁馅机,65,0,1,0,0,0,10022,8000,0,1,10000,5,10,0,0,0,战士攻速分支
淬火·剁馅机,65,0,1,0,0,0,10023,8000,0,1,10000,5,11,0,0,0,战士攻速分支
成名·剁馅机,65,0,1,0,0,0,10024,8000,0,1,10000,5,13,0,0,0,战士攻速分支
压轴·剁馅机,65,0,1,0,0,0,10025,8000,0,1,10000,5,215,0,0,0,战士攻速分支
封顶·剁馅机,65,0,1,0,0,0,10026,8000,0,1,10000,5,249,0,0,0,战士攻速分支
粗坯·电耗子,65,0,1,0,0,0,10007,8000,0,1,10000,5,7,0,0,0,法师雷系分支
精制·电耗子,65,0,1,0,0,0,10008,8000,0,1,10000,5,10,0,0,0,法师雷系分支
淬火·电耗子,65,0,1,0,0,0,10009,8000,0,1,10000,5,11,0,0,0,法师雷系分支
成名·电耗子,65,0,1,0,0,0,10010,8000,0,1,10000,5,13,0,0,0,法师雷系分支
压轴·电耗子,65,0,1,0,0,0,10011,8000,0,1,10000,5,215,0,0,0,法师雷系分支
封顶·电耗子,65,0,1,0,0,0,10012,8000,0,1,10000,5,249,0,0,0,法师雷系分支
粗坯·火葫芦,65,0,1,0,0,0,10028,8000,0,1,10000,5,7,0,0,0,法师火系分支
